example_id                                                                  | status  | run_time        |
./spec/api/research_plan_api_spec.rb[1:1:2:1]                               | passed  | 0.34189 seconds |
./spec/api/research_plan_api_spec.rb[1:1:3:1:1]                             | passed  | 0.15926 seconds |
./spec/api/research_plan_api_spec.rb[1:1:3:1:2]                             | passed  | 0.15811 seconds |
./spec/api/research_plan_api_spec.rb[1:1:4:1]                               | passed  | 28.01 seconds   |
./spec/api/research_plan_metadata_api_spec.rb[1:1:1:1:1]                    | passed  | 0.43714 seconds |
./spec/api/research_plan_metadata_api_spec.rb[1:1:1:1:2]                    | passed  | 0.27057 seconds |
./spec/api/research_plan_metadata_api_spec.rb[1:1:2:1:1]                    | passed  | 0.27781 seconds |
./spec/api/sample_api_spec.rb[1:1:1:1:1:1]                                  | passed  | 0.61763 seconds |
./spec/api/sample_api_spec.rb[1:1:1:1:2:1]                                  | passed  | 0.73403 seconds |
./spec/api/sample_api_spec.rb[1:1:2:1:1]                                    | passed  | 0.47327 seconds |
./spec/api/sample_api_spec.rb[1:1:2:1:2]                                    | passed  | 0.42577 seconds |
./spec/api/sample_api_spec.rb[1:1:2:1:3]                                    | passed  | 0.46888 seconds |
./spec/api/sample_api_spec.rb[1:1:2:2:1:1]                                  | passed  | 0.48107 seconds |
./spec/api/sample_api_spec.rb[1:1:2:2:2:1]                                  | passed  | 0.48732 seconds |
./spec/api/sample_api_spec.rb[1:1:2:2:3:1]                                  | passed  | 0.40794 seconds |
./spec/api/sample_api_spec.rb[1:1:2:3:1]                                    | passed  | 0.34897 seconds |
./spec/api/sample_api_spec.rb[1:1:3:1:1:1]                                  | passed  | 0.78773 seconds |
./spec/api/sample_api_spec.rb[1:1:3:1:1:2]                                  | passed  | 0.7573 seconds  |
./spec/api/sample_api_spec.rb[1:1:3:1:2:1]                                  | passed  | 0.76874 seconds |
./spec/api/sample_api_spec.rb[1:1:3:1:2:2]                                  | passed  | 0.73 seconds    |
./spec/api/sample_api_spec.rb[1:1:3:2:1]                                    | passed  | 0.44026 seconds |
./spec/api/sample_api_spec.rb[1:1:4:1]                                      | passed  | 0.40681 seconds |
./spec/api/sample_api_spec.rb[1:1:5:1:1]                                    | passed  | 0.2393 seconds  |
./spec/api/sample_api_spec.rb[1:1:5:1:2]                                    | passed  | 0.23369 seconds |
./spec/api/sample_api_spec.rb[1:1:6:1:1]                                    | passed  | 0.44532 seconds |
./spec/api/sample_api_spec.rb[1:1:6:2:1]                                    | pending | 0.00001 seconds |
./spec/api/sample_api_spec.rb[1:1:6:2:2]                                    | pending | 0.00001 seconds |
./spec/api/sample_api_spec.rb[1:1:7:1:1:1]                                  | passed  | 1.05 seconds    |
./spec/api/sample_api_spec.rb[1:1:8:1:1]                                    | passed  | 0.52076 seconds |
./spec/api/sample_api_spec.rb[1:1:9:1:1]                                    | passed  | 0.16111 seconds |
./spec/api/sample_api_spec.rb[1:1:10:1:1]                                   | passed  | 0.31675 seconds |
./spec/api/sample_api_spec.rb[1:1:10:2:1]                                   | passed  | 0.25703 seconds |
./spec/api/sample_api_spec.rb[1:1:11:1:1]                                   | passed  | 0.30188 seconds |
./spec/api/sync_collection_api_spec.rb[1:1:1:1:1]                           | passed  | 1.03 seconds    |
./spec/api/sync_collection_api_spec.rb[1:1:1:2:1]                           | passed  | 1.1 seconds     |
./spec/api/sync_collection_api_spec.rb[1:1:2:1:1:1]                         | passed  | 1.14 seconds    |
./spec/api/sync_collection_api_spec.rb[1:1:2:1:1:2]                         | passed  | 1.15 seconds    |
./spec/api/sync_collection_api_spec.rb[1:1:2:1:1:3]                         | passed  | 1.12 seconds    |
./spec/api/sync_collection_api_spec.rb[1:1:2:2:1:1]                         | passed  | 1.11 seconds    |
./spec/api/sync_collection_api_spec.rb[1:1:3:1]                             | passed  | 1.33 seconds    |
./spec/api/sync_collection_api_spec.rb[1:1:3:2]                             | passed  | 1.05 seconds    |
./spec/api/sync_collection_api_spec.rb[1:1:4:1]                             | passed  | 1.08 seconds    |
./spec/api/sync_collection_api_spec.rb[1:1:5:1]                             | passed  | 1.12 seconds    |
./spec/api/sync_collection_api_spec.rb[1:2:1:1]                             | passed  | 1.03 seconds    |
./spec/api/sync_collection_api_spec.rb[1:2:2:1]                             | passed  | 1.09 seconds    |
./spec/api/token_authentication_spec.rb[1:1:1]                              | passed  | 0.13815 seconds |
./spec/api/token_authentication_spec.rb[1:1:2]                              | passed  | 0.11326 seconds |
./spec/api/token_authentication_spec.rb[1:2:1]                              | passed  | 0.15134 seconds |
./spec/api/token_authentication_spec.rb[1:2:2:1]                            | passed  | 0.11162 seconds |
./spec/api/token_authentication_spec.rb[1:2:3:1]                            | passed  | 0.11641 seconds |
./spec/api/ui_api_spec.rb[1:1:1:1]                                          | passed  | 0.15635 seconds |
./spec/api/ui_api_spec.rb[1:1:2:1]                                          | passed  | 0.1011 seconds  |
./spec/api/user_api_spec.rb[1:1:1:1]                                        | passed  | 0.64548 seconds |
./spec/api/user_api_spec.rb[1:1:2:1]                                        | passed  | 0.74844 seconds |
./spec/api/user_api_spec.rb[1:1:3:1]                                        | passed  | 1.11 seconds    |
./spec/api/user_api_spec.rb[1:1:4:1]                                        | passed  | 0.73867 seconds |
./spec/api/user_api_spec.rb[1:1:5:1]                                        | passed  | 0.76611 seconds |
./spec/api/user_api_spec.rb[1:1:6:1]                                        | passed  | 0.73383 seconds |
./spec/api/wellplate_api_spec.rb[1:1:1:1:1]                                 | passed  | 0.2827 seconds  |
./spec/api/wellplate_api_spec.rb[1:1:1:2:1]                                 | passed  | 0.15522 seconds |
./spec/api/wellplate_api_spec.rb[1:1:2:1:1]                                 | passed  | 0.37792 seconds |
./spec/api/wellplate_api_spec.rb[1:1:3:1:1]                                 | passed  | 0.20456 seconds |
./spec/api/wellplate_api_spec.rb[1:1:4:1]                                   | passed  | 0.18788 seconds |
./spec/api/wellplate_api_spec.rb[1:1:4:2]                                   | passed  | 0.29974 seconds |
./spec/api/wellplate_api_spec.rb[1:1:4:3]                                   | passed  | 0.18381 seconds |
./spec/clients/sftp_client_spec.rb[1:1:1:1]                                 | unknown |                 |
./spec/clients/sftp_client_spec.rb[1:2:1:1:1]                               | unknown |                 |
./spec/clients/sftp_client_spec.rb[1:2:1:2:1]                               | unknown |                 |
./spec/clients/sftp_client_spec.rb[1:2:1:3:1]                               | unknown |                 |
