Ontology ID;Ontology Name;Custom Label;Link;Roles;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000027;hydrodynamic voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000027;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000028;linear-sweep voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000028;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000029;pulse voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000029;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000030;differential pulse voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000030;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000031;normal pulse voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000031;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000032;polarography;;http://purl.obolibrary.org/obo/CHMO_0000032;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000033;alternating current polarography;;http://purl.obolibrary.org/obo/CHMO_0000033;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000034;Kalousek polarography;;http://purl.obolibrary.org/obo/CHMO_0000034;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000035;square-wave polarography;;http://purl.obolibrary.org/obo/CHMO_0000035;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000036;differential pulse polarography;;http://purl.obolibrary.org/obo/CHMO_0000036;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000037;normal pulse polarography;;http://purl.obolibrary.org/obo/CHMO_0000037;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000038;oscillo polarography;;http://purl.obolibrary.org/obo/CHMO_0000038;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000039;tast polarography;;http://purl.obolibrary.org/obo/CHMO_0000039;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000040;square-wave voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000040;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000041;stripping voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000041;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000042;anodic stripping voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000042;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000043;differential pulse anodic stripping voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000043;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000044;pseudo polarography;;http://purl.obolibrary.org/obo/CHMO_0000044;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000045;square-wave anodic stripping voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000045;;;;;;;;;;;;;;;;;;;;;;;;;
